Card A,Card B,PCA Distance
card_1.jpg,card_2.jpg,109.01
card_1.jpg,card_3.jpg,79.13
card_2.jpg,card_3.jpg,101.63
card_1.jpg,card_4.jpg,106.69
card_2.jpg,card_4.jpg,17.89
card_3.jpg,card_4.jpg,96.34
card_1.jpg,card_5.jpg,114.17
card_2.jpg,card_5.jpg,187.44
card_3.jpg,card_5.jpg,143.13
card_4.jpg,card_5.jpg,185.17
card_1.jpg,card_6.jpg,74.80
card_2.jpg,card_6.jpg,122.30
card_3.jpg,card_6.jpg,77.03
card_4.jpg,card_6.jpg,118.51
card_5.jpg,card_6.jpg,90.77
card_1.jpg,card_7.jpg,44.19
card_2.jpg,card_7.jpg,97.83
card_3.jpg,card_7.jpg,18.60
card_4.jpg,card_7.jpg,92.71
card_5.jpg,card_7.jpg,129.34
card_6.jpg,card_7.jpg,79.36
card_1.jpg,card_8.jpg,59.33
card_2.jpg,card_8.jpg,79.11
card_3.jpg,card_8.jpg,61.78
card_4.jpg,card_8.jpg,76.35
card_5.jpg,card_8.jpg,153.07
card_6.jpg,card_8.jpg,64.36
card_7.jpg,card_8.jpg,69.11
card_1.jpg,card_9.jpg,57.02
card_2.jpg,card_9.jpg,90.23
card_3.jpg,card_9.jpg,48.15
card_4.jpg,card_9.jpg,87.94
card_5.jpg,card_9.jpg,146.06
card_6.jpg,card_9.jpg,66.75
card_7.jpg,card_9.jpg,62.15
card_8.jpg,card_9.jpg,19.07
card_1.jpg,card_10.jpg,37.11
card_2.jpg,card_10.jpg,73.01
card_3.jpg,card_10.jpg,75.08
card_4.jpg,card_10.jpg,70.07
card_5.jpg,card_10.jpg,114.50
card_6.jpg,card_10.jpg,60.50
card_7.jpg,card_10.jpg,59.85
card_8.jpg,card_10.jpg,70.61
card_9.jpg,card_10.jpg,73.79
card_1.jpg,card_11.jpg,32.94
card_2.jpg,card_11.jpg,113.14
card_3.jpg,card_11.jpg,93.80
card_4.jpg,card_11.jpg,110.64
card_5.jpg,card_11.jpg,106.87
card_6.jpg,card_11.jpg,88.06
card_7.jpg,card_11.jpg,69.07
card_8.jpg,card_11.jpg,98.24
card_9.jpg,card_11.jpg,98.25
card_10.jpg,card_11.jpg,59.09
card_1.jpg,card_12.jpg,67.57
card_2.jpg,card_12.jpg,35.82
card_3.jpg,card_12.jpg,74.22
card_4.jpg,card_12.jpg,33.14
card_5.jpg,card_12.jpg,152.79
card_6.jpg,card_12.jpg,87.89
card_7.jpg,card_12.jpg,61.85
card_8.jpg,card_12.jpg,51.04
card_9.jpg,card_12.jpg,65.22
card_10.jpg,card_12.jpg,38.61
card_11.jpg,card_12.jpg,79.41
card_1.jpg,card_13.jpg,91.77
card_2.jpg,card_13.jpg,118.12
card_3.jpg,card_13.jpg,52.39
card_4.jpg,card_13.jpg,115.30
card_5.jpg,card_13.jpg,156.18
card_6.jpg,card_13.jpg,80.08
card_7.jpg,card_13.jpg,73.74
card_8.jpg,card_13.jpg,46.46
card_9.jpg,card_13.jpg,40.17
card_10.jpg,card_13.jpg,100.62
card_11.jpg,card_13.jpg,122.49
card_12.jpg,card_13.jpg,103.24
card_1.jpg,card_14.jpg,60.87
card_2.jpg,card_14.jpg,71.55
card_3.jpg,card_14.jpg,76.04
card_4.jpg,card_14.jpg,69.49
card_5.jpg,card_14.jpg,116.41
card_6.jpg,card_14.jpg,62.97
card_7.jpg,card_14.jpg,58.63
card_8.jpg,card_14.jpg,68.51
card_9.jpg,card_14.jpg,73.01
card_10.jpg,card_14.jpg,5.71
card_11.jpg,card_14.jpg,65.75
card_12.jpg,card_14.jpg,40.67
card_13.jpg,card_14.jpg,106.95
card_1.jpg,card_15.jpg,83.36
card_2.jpg,card_15.jpg,18.86
card_3.jpg,card_15.jpg,75.88
card_4.jpg,card_15.jpg,16.69
card_5.jpg,card_15.jpg,171.34
card_6.jpg,card_15.jpg,105.68
card_7.jpg,card_15.jpg,68.46
card_8.jpg,card_15.jpg,62.91
card_9.jpg,card_15.jpg,72.94
